Topics,Level,Question,Options,Answer,,,,,,,,,,,,,,,,,,,,,
Datatypes,Easy,What is the numerical range of a char data type in Java?,"[ -128 to 127, 0 to 256, 0 to 32767, 0 to 65535]",0 to 65535,,,,,,,,,,,,,,,,,,,,,
,Easy,What is the range of byte data type in Java?,"[ -128 to 127 , -32768 to 32767,  -2147483648 to 2147483647, None of the mentioned]",-128 to 127,,,,,,,,,,,,,,,,,,,,,
,Easy,"An expression involving byte, int, and literal numbers is promoted to which of these?","[ int, long, byte, float]",int,,,,,,,,,,,,,,,,,,,,,
,Easy,Which of these coding types is used for data type characters in Java?,"[ ASCII, ISO-LATIN-1, UNICODE, None of the mentioned]",ASCII,,,,,,,,,,,,,,,,,,,,,
,Easy,Which one is a valid declaration of a boolean?,"[boolean b1 = 1;, boolean b2 = ‘false’;, boolean b3 = false;, boolean b4 = ‘true’]",boolean b3 = false;,,,,,,,,,,,,,,,,,,,,,
,Medium,What is the order of variables in Enum?,"[Ascending order, Descending order, Random order, Depends on the order() method]",Ascending order,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these literals can be contained in float data type variable?,"[ -1.7E+308, -3.4E+38, +1.7E+308, -3.4E+50]",-3.40E+38,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these can be returned by the operator &?,"[Integer, Boolean, Character, Integer or Boolean]",Integer or Boolean,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these can not be used for a variable name in Java?,"[identifier, keyword, identifier & keyword, none of the mentioned]",keyword,,,,,,,,,,,,,,,,,,,,,
,Medium,What is the range of short data type in Java?,"[ -128 to 127,  -32768 to 32767,  -2147483648 to 2147483647,  None of the mentioned]",-32768 to 32767,,,,,,,,,,,,,,,,,,,,,
,Hard,Which data type value is returned by all transcendental math functions?,"[ int, float, double, long]",double,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these is necessary condition for automatic type conversion in Java?,"[The destination type is smaller than source type, The destination type is larger than source type, The destination type can be larger or smaller than source type, None of the mentioned]", The destination type is larger than source type,,,,,,,,,,,,,,,,,,,,,
,Hard,"f an expression contains double, int, float, long, then the whole expression will be promoted into which of these data types?","[long, int, double, float]",double,,,,,,,,,,,,,,,,,,,,,
,Hard, What is Truncation in Java?,"[Floating-point value assigned to an integer type, Integer value assigned to floating type, Floating-point value assigned to an Floating type, Integer value assigned to floating type]",Floating-point value assigned to an integer type,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these occupy first 0 to 127 in Unicode character set used for characters in Java?,"[ASCII, ISO-LATIN-1, None of the mentioned, ASCII and ISO-LATIN1]",ASCII and ISO-LATIN1,,,,,,,,,,,,,,,,,,,,,
Arrays,Easy,Which of these operators is used to allocate memory to array variable in Java?,"[ malloc, alloc, new, new malloc]",new,,,,,,,,,,,,,,,,,,,,,
,Easy,Which of these is an incorrect array declaration?,"[ int arr[] = new int[5], int [] arr = new int[5], int arr[] = new int[5], int arr[] = int [5] new]",int arr[] = new int[5],,,,,,,,,,,,,,,,,,,,,
,Easy, Which of these is necessary to specify at time of array initialization?,"[Row, Column, Both Row and Column, None of the mentioned]",Row,,,,,,,,,,,,,,,,,,,,,
,Easy,Which of the following is FALSE about arrays on Java,"[A java array is always an object, Length of array can be changed after creation of array, Arrays in Java are always allocated on heap, None of the mentioned]", Length of array can be changed after creation of array,,,,,,,,,,,,,,,,,,,,,
,Easy,"What will this code print?
 int arr[] = new int [5];
 System.out.print(arr);","[0, value stored in arr[0], 00000, Class name@ hashcode in hexadecimal form]",Class name@ hashcode in hexadecimal form,,,,,,,,,,,,,,,,,,,,,
,Medium,which provides runtime environment for java byte codw to be executed?,"[JDK, JVM, JRE, JAVAC]",JVM,,,,,,,,,,,,,,,,,,,,,
,Medium,Generics does not work with?,"[Set, List, Tree,  Array]", Array,,,,,,,,,,,,,,,,,,,,,
,Medium, How to sort an array?,"[Array.sort(), Arrays.sort(), Collection.sort(), System.sort()]",Arrays.sort(),,,,,,,,,,,,,,,,,,,,,
,Medium, How to copy contents of array?,"[System.arrayCopy(), Array.copy(), Arrays.copy(), Collection.copy()]",System.arrayCopy(),,,,,,,,,,,,,,,,,,,,,
,Medium,Where is an array stored in memory?,"[heap space, stack space, heap space and stack space, first generation memory]",heap space,,,,,,,,,,,,,,,,,,,,,
,Hard,Which variables are created when an object is created with the use of the keyword 'new' and destroyed when the object is destroyed?,"[local variables, class variables, instance variables, static variables]",instance variables,,,,,,,,,,,,,,,,,,,,,
,Hard,Which one is a template for creating different objects?,"[An array, A class, Interface, Method]",A class,,,,,,,,,,,,,,,,,,,,,
,Hard,"Java uses call by value. What is the value that is being passed into routine by the method call in the following? double[] rats = {1.2, 3.4, 5.6}; routine(rats);","[A copy of the array rats, The value of elements of rats, A reference to the array object rats, 1.2]",A reference to the array object rats,,,,,,,,,,,,,,,,,,,,,
,Hard,What is the correct way to create an object called myObj of MyClass?,"[MyClass myObj = new MyClass(); , new myObj = MyClass();, class MyClass = new myObj();, class myObj = new MyClass();]",MyClass myObj = new MyClass();  ,,,,,,,,,,,,,,,,,,,,,
,Hard,Which method can be used to find the highest value of x and y?,"[Math.maximum(x,y), Math.largest(x,y), Math.max(x,y), Math.maxNum(x,y)]","Math.max(x,y)",,,,,,,,,,,,,,,,,,,,,
OOPS,Easy,Which of this keyword can be used in a subclass to call the constructor of superclass?,"[super, this, extent, extends]",super,,,,,,,,,,,,,,,,,,,,,
,Easy,which is not supported by OOP?,"[Abstraction, Polymorphism, Encaspulation, Global variables]",Global variables,,,,,,,,,,,,,,,,,,,,,
,Easy,What is the process of defining a method in a subclass having same name & type signature as a method in its superclass?,"[Method overloading, Method overriding, Method hiding, None of the mentioned]",Method overriding,,,,,,,,,,,,,,,,,,,,,
,Easy,A process that involves recognizing and focusing on the important characteristics of a situation or object is known as:,"[Encapsulation, Ploymorphism, Inheritance, Abstraction]", Abstraction,,,,,,,,,,,,,,,,,,,,,
,Easy,"In OOP, new classes can be defined by extending existing clasess. This is an example of: ","[Inheritance, Encapsulation, Interface, Composition]",Inheritance,,,,,,,,,,,,,,,,,,,,,
,Easy,The wrapping up of data and functions into a single unit is called ,"[Encapsulation, Ploymorphism, Inheritance, Abstraction]",Encapsulation,,,,,,,,,,,,,,,,,,,,,
,Easy,A class member declared protected becomes a member of subclass of which type?,"[public member, private member, protected member, static member]",private member,,,,,,,,,,,,,,,,,,,,,
,Easy,Which of these keywords can be used to prevent Method overriding?,"[static, constant, protected, final]",final,,,,,,,,,,,,,,,,,,,,,
,Easy,"Which of these is correct way of calling a constructor having no parameters, of superclass A by subclass B?","[super(void);, superclass.();, super.A();, super();]",super();,,,,,,,,,,,,,,,,,,,,,
,Medium,"Given a class named student, which of the following is a valid constructor declaration for the class?","[Student student () {}, Student (student s) {}, Private final student () {}, Voidstudent () {}]",Student (student s) {},,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these is supported by method overriding in Java?,"[ Abstraction, Encapsulation, Polymorphism, None of the mentioned]",Polymorphism,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these method of Object class can clone an object?,"[Objectcopy(), copy(), Object clone(), clone()]",Object clone(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these method of Object class is used to obtain class of an object at run time?,"[get(), void getclass(), Class getclass(), None of the mentioned]",Class getclass(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these keywords can be used to prevent inheritance of a class?,"[super, constant, class, final]",final,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these packages contains abstract keyword?,"[java.lang, java.util, java.io, java.system]",java.lang,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of this keyword must be used to inherit a class?,"[super, this, extent, extends]",extends,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of the following is used for implementing inheritance through an interface?,"[inherited, using, extends, implements]",implements,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these is correct way of inheriting class A by class B?,"[class B + class A {}, class B inherits class A {}, class B extends A {}, class B extends class A {}]",class B extends A {},,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these class relies upon its subclasses for complete implementation of its methods?,"[Object class, abstract class, ArrayList class, None of the mentioned]",abstract class,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these is not abstract?,"[Thread, AbstractList, List, None of the Mentioned]",Thread,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these class is superclass of every class in Java?,"[String class, Object class, Abstract class, ArrayList class]",Object class,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these keywords cannot be used for a class which has been declared final?,"[abstract, extends, abstract and extends, none of the mentioned]",abstract,,,,,,,,,,,,,,,,,,,,,
,Hard,What is not type of inheritance?,"[Single inheritance, Double inheritance, Hierarchical inheritance, Multiple inheritance]",Double inheritance,,,,,,,,,,,,,,,,,,,,,
,Hard,All classes in Java are inherited from which class?,"[java.lang.class, java.class.inherited, java.class.object, java.lang.Object]",java.lang.Object,,,,,,,,,,,,,,,,,,,,,
Serialization,Easy,Which of these is a process of writing the state of an object to a byte stream?,"[Serialization, Externalization, File Filtering, All of the mentioned]",Serialization,,,,,,,,,,,,,,,,,,,,,
,Easy,The process of turning stream of bytes into an object in memory is called ,"[Serialization, Deserialization, Externalization, None of them]",Deserialization,,,,,,,,,,,,,,,,,,,,,
,Easy,What is true about Serializable interface in java?,"[Marker interface, Serializable provides its own default serialization process, we just need to implement Serializable interface, All, None]",All,,,,,,,,,,,,,,,,,,,,,
,Easy,"Externalizable provides which method for reading and writing in java
","[readObject() and writeObject(), writeExternal() and readExternal(), externalWrite() and externalRead(), write() and read()]",writeExternal() and readExternal(),,,,,,,,,,,,,,,,,,,,,
,Easy,How many methods does serialization has?,"[1, 2, 3, 0]",0,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these is an interface for control over serialization and deserialization?,"[Serialization, Externalization, File Filtering, Objectinput]",Externalization,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these process occur automatically by java run time system?,"[Serialization, Memory allocation, Deserialization, All of the mentioned]",All of the mentioned,,,,,,,,,,,,,,,,,,,,,
,Medium,what type of members are not serialized?,"[Private, Protected, Static, Throwable]",Static,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of the following methods is not used while Serialization and DeSerialization?,"[readObject(), readExternal(), readWriteObject(), writeObject()]",readWriteObject(),,,,,,,,,,,,,,,,,,,,,
,Medium,"If member doesnot implement serialization, which exception would be thrown?","[RuntimeException, SerializableException, NotSerializableException, UnSerializedExeption]",NotSerializableException,,,,,,,,,,,,,,,,,,,,,
,Hard,Can you customize serialization process when you have implemented Serializable interface,"[By defining objectWrite() and objectRead() methods, By defining write() and read() methods, It's not possible, By defining writeObject() and readObject() methods]",By defining writeObject() and readObject() methods,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these is a method of ObjectOutput interface used to finalize the output state so that any buffers are cleared?,"[clear(), flush(), fflush(), close()]",flush(),,,,,,,,,,,,,,,,,,,,,
,Hard,"Let's say class does not contain SerialVersionUID, and you have serialized a class & then added few fields in it and then deserialize already serialized version of class, what will happen?","[InvalidException, InvalidClassException, No exception, InvalidClassCastException]",InvalidClassException,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of the following methods is used to avoid serialization of new class whose super class already implements Serialization?,"[writeObject(), readWriteObject(), writeReadObject(), unSerializaedObject()]",writeObject(),,,,,,,,,,,,,,,,,,,,,
,Hard,Which method can help you serialize Singleton class such that object returned by Deserialization process is in same state as it was during Serialization time in java,"[writeResolve(), resolve(), resolveRead(), readResolve()]",readResolve(),,,,,,,,,,,,,,,,,,,,,
Multithreading,Easy,Thread priority in Java is?,"[Integer, Float, double, long]",Integer,,,,,,,,,,,,,,,,,,,,,
,Easy,Which of this method is used to find out that a thread is still running or not?,"[run(), Alive(), isAlive(), checkRun()]",isAlive(),,,,,,,,,,,,,,,,,,,,,
,Easy,What is the default value of priority variable MIN_PRIORITY AND MAX_PRIORITY?,"[0 & 256, 0 & 1, 1 & 10, 1 & 256]",1 & 10,,,,,,,,,,,,,,,,,,,,,
,Easy,Which of these method is used to begin the execution of a thread?,"[run(), start(), runThread(), startThread()]",start(),,,,,,,,,,,,,,,,,,,,,
,Easy,Which of these method is used to explicitly set the priority of a thread?,"[set(), make(), setPriority(), makePriority()]",setPriority(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these method waits for the thread to terminate?,"[sleep(), isAlive(), join(), stop()]",join(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these method is used to implement Runnable interface?,"[stop(), run(), runThread(), stopThread()]",run(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these method of Thread class is used to find out the priority given to a thread?,"[get(), ThreadPriority(), getPriority(), getThreadPriority()]",getPriority(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these method of Thread class is used to Suspend a thread for a period of time?,"[sleep(), terminate(), suspend(), stop()]",sleep(),,,,,,,,,,,,,,,,,,,,,
,Medium,The process in which two or more parts of same process run simultaneously is called?,"[multithreaded programming, mulitiprogramming, multitasking, none of the above]",multithreaded programming,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these method is used to tell the calling thread to give up a monitor and go to sleep until some other thread enters the same monitor?,"[wait(), notify(), notifyAll(), sleep()]",wait(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of the following is a correct constructor for thread?,"[Thread(Runnable a, String str), Thread(int priority), Thread(Runnable a, int priority), Thread(Runnable a, ThreadGroup t)]","Thread(Runnable a, String str)",,,,,,,,,,,,,,,,,,,,,
,Medium,Which of this method is used to avoid polling in Java?,"[wait(), notify(), notifyAll(), all of the mentioned]",all of the mentioned,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these keywords are used to implement synchronization?,"[synchronize, syn, synch, synchronized]",synchronized,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of the following will ensure the thread will be in running state?,"[yield(), notify(), wait(), Thread.killThread()]",wait(),,,,,,,,,,,,,,,,,,,,,
,Medium,Which of this method can be used to make the main thread to be executed last among all the threads?,"[stop(), sleep(), join(), call()]",sleep(),,,,,,,,,,,,,,,,,,,,,
,Hard,Which of the following stops execution of a thread?,"[Calling SetPriority() method on a Thread object, Calling notify() method on an object, Calling wait() method on an object, Calling read() method on an InputStream object]",Calling notify() method on an object,,,,,,,,,,,,,,,,,,,,,
,Hard,What should not be done to avoid deadlock?,"[Avoid using multiple threads, Avoid hold several locks at once, Execute foreign code while holding a lock, Use interruptible locks]",Execute foreign code while holding a lock,,,,,,,,,,,,,,,,,,,,,
